,Date,HomeTeam,HomeScore,AwayTeam,AwayScore,HomeScoreAverage,HomeDefenseAverage,AwayScoreAverage,AwayDefenseAverage,Result
0,2015-11-13,Hawaii,87,Montana State,76,87.0,76.0,76.0,87.0,11
1,2015-11-13,Eastern Michigan,70,Vermont,50,70.0,50.0,50.0,70.0,20
4,2015-11-13,Yale,70,Fairfield,57,70.0,57.0,57.0,70.0,13
6,2015-11-13,Central Michigan,89,Jacksonville State,83,89.0,83.0,83.0,89.0,6
8,2015-11-13,Iowa State,68,Colorado,62,68.0,62.0,62.0,68.0,6
9,2015-11-13,Ole Miss,90,Northwestern State,76,90.0,76.0,76.0,90.0,14
10,2015-11-13,Wright State,77,South Dakota,69,77.0,69.0,69.0,77.0,8
11,2015-11-13,Pennsylvania,76,Robert Morris,75,76.0,75.0,75.0,76.0,1
12,2015-11-13,Sacred Heart,76,Quinnipiac,64,76.0,64.0,64.0,76.0,12
15,2015-11-13,Clemson,74,North Carolina Central,40,74.0,40.0,40.0,74.0,34
17,2015-11-13,Duke,92,Siena,74,92.0,74.0,74.0,92.0,18
19,2015-11-13,Michigan State,82,Florida Atlantic,55,82.0,55.0,55.0,82.0,27
20,2015-11-13,Dayton,84,Southeast Missouri State,53,84.0,53.0,53.0,84.0,31
24,2015-11-13,Villanova,91,Fairleigh Dickinson,54,91.0,54.0,54.0,91.0,37
25,2015-11-13,Furman,63,Presbyterian,53,63.0,53.0,53.0,63.0,10
28,2015-11-13,West Virginia,107,Northern Kentucky,61,107.0,61.0,61.0,107.0,46
29,2015-11-13,Richmond,75,James Madison,87,75.0,87.0,87.0,75.0,-12
31,2015-11-13,Boston University,84,Northeastern,87,84.0,87.0,87.0,84.0,-3
32,2015-11-13,Miami (FL),86,Texas Rio Grande Valley,59,86.0,59.0,59.0,86.0,27
33,2015-11-13,Virginia Commonwealth,75,Prairie View A&M,50,75.0,50.0,50.0,75.0,25
34,2015-11-13,Old Dominion,67,Niagara,50,67.0,50.0,50.0,67.0,17
35,2015-11-13,Kentucky,78,Albany,65,78.0,65.0,65.0,78.0,13
36,2015-11-13,Indiana,88,Eastern Illinois,49,88.0,49.0,49.0,88.0,39
37,2015-11-13,Georgia,90,Chattanooga,92,90.0,92.0,92.0,90.0,-2
38,2015-11-13,Eastern Kentucky,107,Coppin State,80,107.0,80.0,80.0,107.0,27
39,2015-11-13,Cincinnati,97,Western Carolina,72,97.0,72.0,72.0,97.0,25
40,2015-11-13,Tennessee,82,UNC Asheville,78,82.0,78.0,78.0,82.0,4
41,2015-11-13,Syracuse,57,Lehigh,47,57.0,47.0,47.0,57.0,10
42,2015-11-13,George Washington,85,Lafayette,76,85.0,76.0,76.0,85.0,9
45,2015-11-13,Louisville,86,Samford,45,86.0,45.0,45.0,86.0,41
47,2015-11-13,Xavier,81,Miami (OH),72,81.0,72.0,72.0,81.0,9
48,2015-11-13,Charleston,74,South Carolina State,54,74.0,54.0,54.0,74.0,20
49,2015-11-13,Hofstra,96,Canisius,85,96.0,85.0,85.0,96.0,11
50,2015-11-13,North Carolina,91,Temple,67,91.0,67.0,67.0,91.0,24
51,2015-11-13,Seton Hall,84,Dartmouth,67,84.0,67.0,67.0,84.0,17
52,2015-11-13,Indiana State,70,IUPUI,72,70.0,72.0,72.0,70.0,-2
53,2015-11-13,Marist,64,Holy Cross,67,64.0,67.0,67.0,64.0,-3
54,2015-11-13,Virginia,86,Morgan State,48,86.0,48.0,48.0,86.0,38
55,2015-11-13,George Mason,53,Colgate,66,53.0,66.0,66.0,53.0,-13
56,2015-11-13,Rider,56,Princeton,64,56.0,64.0,64.0,56.0,-8
58,2015-11-13,New Mexico,86,Texas Southern,57,86.0,57.0,57.0,86.0,29
60,2015-11-13,Loyola (MD),71,Tennessee State,86,71.0,86.0,86.0,71.0,-15
63,2015-11-13,Arizona State,63,Sacramento State,66,63.0,66.0,66.0,63.0,-3
64,2015-11-13,Connecticut,100,Maine,56,100.0,56.0,56.0,100.0,44
65,2015-11-13,Notre Dame,87,St Francis (PA),56,87.0,56.0,56.0,87.0,31
67,2015-11-13,Denver,58,Milwaukee,71,58.0,71.0,71.0,58.0,-13
70,2015-11-13,Arkansas,86,Southern University,68,86.0,68.0,68.0,86.0,18
71,2015-11-13,Wake Forest,78,UMBC,73,78.0,73.0,73.0,78.0,5
72,2015-11-13,Kansas State,80,Maryland-Eastern Shore,53,80.0,53.0,53.0,80.0,27
73,2015-11-13,St Bonaventure,63,Binghamton,53,63.0,53.0,53.0,63.0,10
74,2015-11-13,Oklahoma State,91,Tennessee-Martin,57,91.0,57.0,57.0,91.0,34
75,2015-11-13,Southern Illinois,77,Air Force,75,77.0,75.0,75.0,77.0,2
76,2015-11-13,Rhode Island,65,American University,42,65.0,42.0,42.0,65.0,23
77,2015-11-13,Illinois,81,North Florida,93,81.0,93.0,93.0,81.0,-12
78,2015-11-13,Delaware State,56,Delaware,62,56.0,62.0,62.0,56.0,-6
80,2015-11-13,Vanderbilt,80,Austin Peay,41,80.0,41.0,41.0,80.0,39
81,2015-11-13,Illinois-Chicago,75,San Francisco,78,75.0,78.0,78.0,75.0,-3
83,2015-11-13,East Carolina,61,Grambling State,53,61.0,53.0,53.0,61.0,8
84,2015-11-13,Oral Roberts,80,Missouri State,65,80.0,65.0,65.0,80.0,15
85,2015-11-13,Loyola (IL),76,UTSA,64,76.0,64.0,64.0,76.0,12
86,2015-11-13,Central Connecticut State,83,Hartford,92,83.0,92.0,92.0,83.0,-9
88,2015-11-13,Northern Illinois,83,Cal State Northridge,71,83.0,71.0,71.0,83.0,12
89,2015-11-13,Nebraska-Omaha,59,UC Santa Barbara,60,59.0,60.0,60.0,59.0,-1
90,2015-11-13,Bradley,54,Ball State,53,54.0,53.0,53.0,54.0,1
91,2015-11-13,USC,83,San Diego,45,83.0,45.0,45.0,83.0,38
93,2015-11-13,Kansas,109,Northern Colorado,72,109.0,72.0,72.0,109.0,37
94,2015-11-13,Northwestern,79,Massachusetts-Lowell,57,79.0,57.0,57.0,79.0,22
97,2015-11-13,Wichita State,88,Charleston Southern,63,88.0,63.0,63.0,88.0,25
103,2015-11-13,Alabama,77,Kennesaw State,64,77.0,64.0,64.0,77.0,13
104,2015-11-13,Charlotte,74,Elon,85,74.0,85.0,85.0,74.0,-11
105,2015-11-13,UC Davis,71,North Dakota State,79,71.0,79.0,79.0,71.0,-8
108,2015-11-13,Georgia Tech,116,Cornell,81,116.0,81.0,81.0,116.0,35
110,2015-11-13,South Florida,77,Troy,82,77.0,82.0,82.0,77.0,-5
111,2015-11-13,Valparaiso,78,Purdue Fort Wayne,64,78.0,64.0,64.0,78.0,14
112,2015-11-13,Washington State,82,Northern Arizona,70,82.0,70.0,70.0,82.0,12
114,2015-11-13,BYU,85,Utah Valley,54,85.0,54.0,54.0,85.0,31
115,2015-11-13,Stanford,93,Green Bay,89,93.0,89.0,89.0,93.0,4
116,2015-11-13,Montana,74,Boise State,72,74.0,72.0,72.0,74.0,2
117,2015-11-13,LSU,81,McNeese State,70,81.0,70.0,70.0,81.0,11
118,2015-11-13,Wisconsin,67,Western Illinois,69,67.0,69.0,69.0,67.0,-2
119,2015-11-13,SIU-Edwardsville,79,Arkansas State,70,79.0,70.0,70.0,79.0,9
121,2015-11-13,Coastal Carolina,56,Nevada,73,56.0,73.0,73.0,56.0,-17
122,2015-11-13,Minnesota,76,UMKC,58,76.0,58.0,58.0,76.0,18
123,2015-11-13,Grand Canyon,82,Portland State,72,82.0,72.0,72.0,82.0,10
124,2015-11-13,Weber State,70,Utah State,73,70.0,73.0,73.0,70.0,-3
126,2015-11-13,Texas Tech,77,High Point,73,77.0,73.0,73.0,77.0,4
127,2015-11-13,New Mexico State,91,Houston Baptist,69,91.0,69.0,69.0,91.0,22
128,2015-11-13,Marquette,80,Belmont,83,80.0,83.0,83.0,80.0,-3
129,2015-11-13,Missouri,83,Wofford,74,83.0,74.0,74.0,83.0,9
130,2015-11-13,Mississippi State,106,Eastern Washington,88,106.0,88.0,88.0,106.0,18
131,2015-11-13,Baylor,97,Stephen F Austin,55,97.0,55.0,55.0,97.0,42
134,2015-11-13,Iowa,76,Gardner-Webb,59,76.0,59.0,59.0,76.0,17
135,2015-11-13,TCU,90,Southeastern Louisiana,77,90.0,77.0,77.0,90.0,13
136,2015-11-13,Arizona,79,Pacific,61,79.0,61.0,61.0,79.0,18
138,2015-11-13,Auburn,75,UAB,74,75.0,74.0,74.0,75.0,1
139,2015-11-13,Navy,41,Florida,59,41.0,59.0,59.0,41.0,-18
141,2015-11-13,Oregon,80,Jackson State,52,80.0,52.0,52.0,80.0,28
142,2015-11-13,Fresno State,69,Pepperdine,66,69.0,66.0,66.0,69.0,3
143,2015-11-13,Washington,77,Texas,71,77.0,71.0,71.0,77.0,6
144,2015-11-13,Loyola Marymount,79,Cal State Fullerton,74,79.0,74.0,74.0,79.0,5
145,2015-11-13,San Diego State,71,Illinois State,60,71.0,60.0,60.0,71.0,11
